episode,agent_type,steps,success,energy_remaining
0,AStar,13,true,0
1,AStar,15,true,0
2,AStar,13,true,0
3,AStar,13,true,0
4,AStar,500,false,0
5,AStar,13,true,0
6,AStar,13,true,0
7,AStar,13,true,0
8,AStar,13,true,0
9,AStar,500,false,0
10,AStar,13,true,0
11,AStar,13,true,0
12,AStar,13,true,0
13,AStar,13,true,0
14,AStar,13,true,0
15,AStar,13,true,0
16,AStar,500,false,0
17,AStar,13,true,0
18,AStar,13,true,0
19,AStar,500,false,0
20,AStar,13,true,0
21,AStar,500,false,0
22,AStar,13,true,0
23,AStar,13,true,0
24,AStar,13,true,0
25,AStar,500,false,0
26,AStar,15,true,0
27,AStar,13,true,0
28,AStar,13,true,0
29,AStar,500,false,0
30,AStar,500,false,0
31,AStar,13,true,0
32,AStar,13,true,0
33,AStar,13,true,0
34,AStar,13,true,0
35,AStar,13,true,0
36,AStar,500,false,0
37,AStar,17,true,0
38,AStar,13,true,0
39,AStar,13,true,0
40,AStar,13,true,0
41,AStar,13,true,0
42,AStar,13,true,0
43,AStar,13,true,0
44,AStar,13,true,0
45,AStar,13,true,0
46,AStar,13,true,0
47,AStar,500,false,0
48,AStar,15,true,0
49,AStar,13,true,0
