episode,agent_type,steps,success,energy_remaining
0,BehaviorTree,63,true,37
1,BehaviorTree,500,false,100
2,BehaviorTree,500,false,0
3,BehaviorTree,500,false,0
4,BehaviorTree,500,false,0
5,BehaviorTree,69,true,31
6,BehaviorTree,61,true,39
7,BehaviorTree,500,false,0
8,BehaviorTree,75,true,25
9,BehaviorTree,67,true,33
10,BehaviorTree,500,false,0
11,BehaviorTree,63,true,37
12,BehaviorTree,65,true,35
13,BehaviorTree,500,false,0
14,BehaviorTree,55,true,45
15,BehaviorTree,500,false,0
16,BehaviorTree,500,false,0
17,BehaviorTree,500,false,0
18,BehaviorTree,26,true,75
19,BehaviorTree,56,true,45
20,BehaviorTree,61,true,39
21,BehaviorTree,57,true,43
22,BehaviorTree,61,true,39
23,BehaviorTree,60,true,41
24,BehaviorTree,59,true,41
25,BehaviorTree,61,true,39
26,BehaviorTree,63,true,37
27,BehaviorTree,60,true,41
28,BehaviorTree,63,true,37
29,BehaviorTree,500,false,0
30,BehaviorTree,500,false,0
31,BehaviorTree,500,false,0
32,BehaviorTree,61,true,39
33,BehaviorTree,59,true,41
34,BehaviorTree,63,true,37
35,BehaviorTree,65,true,39
36,BehaviorTree,65,true,35
37,BehaviorTree,57,true,43
38,BehaviorTree,500,false,0
39,BehaviorTree,59,true,41
40,BehaviorTree,500,false,0
41,BehaviorTree,500,false,0
42,BehaviorTree,39,true,61
43,BehaviorTree,500,false,0
44,BehaviorTree,500,false,0
45,BehaviorTree,500,false,0
46,BehaviorTree,59,true,41
47,BehaviorTree,500,false,0
48,BehaviorTree,57,true,43
49,BehaviorTree,500,false,0
