episode,agent_type,steps,success,energy_remaining
0,BehaviorTree,59,true,41
1,BehaviorTree,67,true,33
2,BehaviorTree,54,true,47
3,BehaviorTree,65,true,37
4,BehaviorTree,500,false,0
5,BehaviorTree,61,true,39
6,BehaviorTree,500,false,100
7,BehaviorTree,63,true,37
8,BehaviorTree,500,false,0
9,BehaviorTree,61,true,39
10,BehaviorTree,500,false,0
11,BehaviorTree,61,true,39
12,BehaviorTree,59,true,41
13,BehaviorTree,500,false,0
14,BehaviorTree,67,true,33
15,BehaviorTree,56,true,45
16,BehaviorTree,500,false,0
17,BehaviorTree,500,false,0
18,BehaviorTree,60,true,41
19,BehaviorTree,65,true,35
20,BehaviorTree,65,true,35
21,BehaviorTree,57,true,43
22,BehaviorTree,500,false,0
23,BehaviorTree,500,false,100
24,BehaviorTree,59,true,41
25,BehaviorTree,500,false,0
26,BehaviorTree,69,true,31
27,BehaviorTree,53,true,47
28,BehaviorTree,59,true,41
29,BehaviorTree,500,false,0
30,BehaviorTree,47,true,53
31,BehaviorTree,57,true,43
32,BehaviorTree,61,true,39
33,BehaviorTree,55,true,45
34,BehaviorTree,500,false,0
35,BehaviorTree,500,false,0
36,BehaviorTree,63,true,37
37,BehaviorTree,59,true,41
38,BehaviorTree,63,true,37
39,BehaviorTree,45,true,55
40,BehaviorTree,59,true,41
41,BehaviorTree,62,true,39
42,BehaviorTree,500,false,0
43,BehaviorTree,61,true,39
44,BehaviorTree,500,false,0
45,BehaviorTree,63,true,37
46,BehaviorTree,43,true,57
47,BehaviorTree,59,true,41
48,BehaviorTree,61,true,41
49,BehaviorTree,61,true,39
